"","ParcelNo","SaleDate","SalePrice","TaxStatus","IsImproved","PermitIssued","BlightStatus","BlightNeighborCount","CrimeCount","BlightCount","Call311Count"
"134","21053152.","03/23/2010",3000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.645067698259188,0.260702524698134,0.468790637191157,0.329011345218801
"135","13006796-7","07/01/1999",11000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.300773694390716,0.493596780095134,0.319895968790637,0.254457050243112
"136","21018362.","01/01/1995",8000,"COUNTY OWNED","1",2016-04-12,"Blighted",0.790135396518375,0.22703988291255,0.416775032509753,0.272285251215559
"137","21018618.","04/07/2010",52831,"COUNTY OWNED","1",2016-04-12,"Blighted",0.780464216634429,0.227588730332967,0.416124837451235,0.272285251215559
"138","21021691.","05/01/1993",17500,"COUNTY OWNED","1",2016-04-12,"Blighted",0.700193423597679,0.207830223197951,0.382314694408322,0.243111831442464
"139","21021693.","02/11/2004",99750,"COUNTY OWNED","1",2016-04-12,"Blighted",0.706963249516441,0.209293816319063,0.381664499349805,0.243111831442464
"140","21030784.","11/01/1994",29000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.649903288201161,0.291255031101354,0.29778933680104,0.179902755267423
"141","13020585.","04/01/1992",8000,"CITY LAND BANK","0",2016-04-12,"Blighted",0.309477756286267,0.430296377607025,0.206111833550065,0.205834683954619
"142","13006773.","10/01/1995",13500,"CITY LAND BANK","1",2016-04-12,"Blighted",0.296905222437137,0.50384193194292,0.304941482444733,0.290113452188006
"143","13020786-7","10/07/2005",25211,"TAXABLE","1",2016-04-12,"Blighted",0.209864603481625,0.374679839004757,0.200260078023407,0.20259319286872
"144","21053157.","",0,"CITY LAND BANK","1",2016-04-12,"Blighted",0.644100580270793,0.259055982436883,0.464239271781534,0.3354943273906
"145","13019989-90","10/15/2008",55643,"CITY LAND BANK","1",2016-04-12,"Blighted",0.356866537717602,0.470362239297475,0.225617685305592,0.233387358184765
"146","13021223.","08/01/1997",14000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.224371373307544,0.395536040980607,0.20221066319896,0.20259319286872
"147","21051560.","08/01/1985",8000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.591876208897485,0.258141236736187,0.449284785435631,0.33387358184765
"148","13023776.","02/01/1970",13000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.207930367504836,0.439260885473838,0.185955786736021,0.207455429497569
"149","13021428.","",0,"CITY LAND BANK","1",2016-04-12,"Blighted",0.313346228239845,0.475850713501647,0.208062418725618,0.236628849270664
"150","13024222.","08/01/1975",12000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.170212765957447,0.436516648371753,0.179453836150845,0.20097244732577
"151","15011347.","",0,"CITY LAND BANK","1",2016-04-12,"Blighted",0.225338491295938,0.386571533113794,0.226267880364109,0.188006482982172
"152","21051445.","11/11/2005",55250,"CITY LAND BANK","1",2016-04-12,"Blighted",0.595744680851064,0.254848152213685,0.442132639791938,0.3354943273906
"153","17013865.","11/18/2011",500,"CITY LAND BANK","1",2016-04-12,"Blighted",0.398452611218569,0.326564215148189,0.253576072821847,0.141004862236629
"154","15011328.","06/30/2009",7000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.196324951644101,0.371569703622393,0.218465539661899,0.183144246353323
"155","21051444.","12/01/1983",6000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.598646034816248,0.254848152213685,0.442782834850455,0.3354943273906
"156","21054010.","12/05/2006",72000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.654738878143133,0.252286864251738,0.454486345903771,0.340356564019449
"157","21054682.","03/31/2004",79000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.647001934235977,0.23472374679839,0.428478543563069,0.337115072933549
"158","19007367.","07/01/1971",7528,"CITY LAND BANK","1",2016-04-12,"Blighted",0.233075435203095,0.346871569703622,0.152145643693108,0.157212317666126
"159","21024285-7","04/17/2003",81000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.56963249516441,0.294182217343578,0.283485045513654,0.168557536466775
"160","21036280.","01/31/2006",79000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.494197292069632,0.345773874862788,0.26853055916775,0.162074554294976
"161","13020900.","07/01/1969",13950,"COUNTY OWNED","1",2016-04-12,"Blighted",0.302707930367505,0.424259055982437,0.204161248374512,0.20259319286872
"162","21066320.","04/13/2011",500,"CITY LAND BANK","1",2016-04-12,"Blighted",0.53384912959381,0.168862056348335,0.334200260078023,0.26580226904376
"163","21059502.","08/17/2011",1000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.676015473887814,0.233260153677278,0.434980494148244,0.3322528363047
"164","13021560.","06/26/2012",353,"COUNTY OWNED","1",2016-04-12,"Blighted",0.27852998065764,0.412916209293816,0.199609882964889,0.20259319286872
"165","21059424.","04/27/2009",1575,"CITY LAND BANK","1",2016-04-12,"Blighted",0.671179883945841,0.231247713135748,0.437581274382315,0.33063209076175
"166","15009293.","03/15/2011",1000,"CITY LAND BANK","1",2016-04-12,"Blighted",0.182785299806576,0.355836077570435,0.213914174252276,0.181523500810373
"167","15009242.","10/21/2011",354,"CITY LAND BANK","1",2016-04-12,"Blighted",0.183752417794971,0.357299670691548,0.212613784135241,0.179902755267423
"168","15009240.","08/01/1988",1600,"CITY LAND BANK","0",2016-04-12,"Blighted",0.183752417794971,0.358397365532382,0.213263979193758,0.181523500810373
